ticket_id,device_brand,device_model,issue_category,intake_date,finish_date,repair_status,technician_name,parts_cost,labor_cost,payment_method,warranty_provided
1,Celkon,Celkon C11,Software Issue,2026-01-05,,Diagnosing,Selene Clace,0.0,1072,,True
2,Wiko,Wiko Lenny3 Max,Maintenance,2025-07-17,,Repairing,Tessa Lumbley,16213.0,657,,False
3,Siemens,Siemens CL55,Diagnostic,2025-08-23,,Repairing,Walsh Bartolomeotti,8895.0,715,,False
4,Lava,Lava Iris 350,Software Issue,2025-05-19,,Waiting on Parts,Randal O'Conor,0.0,1319,,True
5,Huawei,Huawei Mulan,Diagnostic,2025-09-14,,Received,,16277.0,2639,,False
6,Huawei,Huawei P20 lite,Software Issue,2026-01-05,,Waiting on Parts,Selene Clace,0.0,1186,,False
7,Xiaomi,Xiaomi Redmi Note 4 (MediaTek),Diagnostic,2026-01-06,2026-01-18,Unrepairable,Chrissy Rudsdell,0.0,402,,False
8,Celkon,Celkon C770,Software Issue,2026-02-21,,Waiting on Parts,Randal O'Conor,0.0,576,,False
9,NEC,NEC N109,Troubleshooting,2025-12-15,,Diagnosing,Randal O'Conor,17147.0,2213,,False
10,Yezz,Yezz Zenior YZ888,Maintenance,2026-02-03,2026-02-10,Completed,Katha Buttner,12202.0,2743,GCash,True
11,Plum,Plum Optimax 11,Diagnostic,2026-02-09,,Repairing,Florance Cartmill,6103.0,1040,,True
12,alcatel,alcatel OT-C700A,Troubleshooting,2025-10-30,,Diagnosing,Osbourne O'Connolly,6685.0,2203,,True
13,WND,WND Wind DUO 2300,Diagnostic,2026-03-18,2026-03-19,Ready for Pickup,Tessy Blei,15753.0,1817,Maya,True
14,Huawei,Huawei Watch Fit,Environmental Damage,2025-09-03,2025-09-16,Ready for Pickup,Roseanne Piddlesden,14175.0,2461,,True
15,Benefon,Benefon TWIG Discovery Pro,Software Issue,2026-03-18,2026-03-29,Ready for Pickup,Dylan Cornwell,0.0,1252,Cash,True
16,Motorola,Motorola C115,Software Issue,2026-02-17,,Repairing,Tessy Blei,0.0,2990,,True
17,Honor,Honor 8S 2020,Troubleshooting,2025-12-08,,Waiting on Parts,Lorilyn Lofty,5705.0,2315,,True
